Afghanistan     3.32 ± 0.34 Asia
Åland   3.01 ± 0.24 Europe
Albania     1.97 ± 0.28 Europe
Algeria     2.86 ± 0.28 Africa
American Samoa  1.43 ± 0.57
Andorra     2.75 ± 0.29 Europe
Angola  1.61 ± 0.34 Africa
Anguilla    1.91 ± 0.31
Antarctica  1.05 ± 0.76
Antigua and Barbuda     1.86 ± 0.28
Argentina   1.11 ± 0.26 South America
Armenia     2.38 ± 0.29 Asia
Aruba   1.31 ± 0.34 South America
Australia   1.40 ± 0.25 Oceania
Austria     2.90 ± 0.28 Europe
Azerbaijan  2.57 ± 0.35 Asia
Bahamas     1.53 ± 0.29 North America
Bahrain     3.13 ± 0.55 Asia
Baker Island    1.22 ± 0.17 Asia
Bangladesh  0.90 ± 0.41 Asia
Barbados    1.66 ± 0.32
Belarus     3.16 ± 0.21 Europe
Belgium     2.84 ± 0.20 Europe
Belize  1.23 ± 0.26 North America
Benin   1.82 ± 0.42 Africa
Bhutan  1.25 ± 0.60 Asia
Bolivia     0.65 ± 0.29 South America
Bonaire, Saint Eustatius and Saba   1.43 ± 0.34 South America
Bosnia and Herzegovina  2.61 ± 0.30 Europe
Botswana    1.38 ± 0.29 Africa
Brazil  1.70 ± 0.17 South America
British Virgin Islands  1.88 ± 0.30
Bulgaria    2.01 ± 0.25 Europe
Burkina Faso    1.79 ± 0.34 Africa
Burma   0.99 ± 0.30 Asia
Burundi     1.90 ± 0.24 Africa
Cambodia    1.05 ± 0.27 Asia
Cameroon    1.61 ± 0.41 Africa
Canada  3.64 ± 0.24 North America
Cape Verde  2.09 ± 0.57
Cayman Islands  1.47 ± 0.30
Central African Republic    1.78 ± 0.33 Africa
Chad    2.07 ± 0.60 Africa
Chile   0.96 ± 0.37 South America
China   2.09 ± 0.23 Asia
Christmas Island    1.60 ± 0.27
Colombia    1.23 ± 0.22 South America
Comoros     1.92 ± 0.32
Congo   1.47 ± 0.43 Africa
Congo (Democratic Republic of the)  1.70 ± 0.23 Africa
Costa Rica  1.60 ± 0.45 North America
Côte d'Ivoire   1.80 ± 0.29 Africa
Croatia     2.82 ± 0.31 Europe
Cuba    1.46 ± 0.25 North America
Curaçao     1.32 ± 0.37 South America
Cyprus  1.92 ± 0.33 Asia
Czech Republic  2.73 ± 0.26 Europe
Denmark     3.56 ± 0.74 North America
Denmark (Europe)    2.86 ± 0.23 Europe
Djibouti    2.29 ± 0.44 Africa
Dominica    1.75 ± 0.31 North America
Dominican Republic  1.67 ± 0.33 North America
Ecuador     1.31 ± 0.36 South America
Egypt   2.03 ± 0.33 Africa
El Salvador     1.41 ± 0.30 North America
Equatorial Guinea   1.48 ± 0.39 Africa
Eritrea     2.29 ± 0.39 Africa
Estonia     3.01 ± 0.27 Europe
Ethiopia    2.19 ± 0.25 Africa
Falkland Islands (Islas Malvinas)   1.37 ± 0.38 South America
Faroe Islands   1.74 ± 0.63
Federated States of Micronesia  1.79 ± 0.51
Fiji    1.30 ± 0.44 Oceania
Finland     3.03 ± 0.27 Europe
France  2.60 ± 0.21
France (Europe)     2.77 ± 0.22 Europe
French Guiana   1.85 ± 0.22 South America
French Polynesia    1.58 ± 0.46
French Southern and Antarctic Lands     1.67 ± 0.67
Gabon   1.47 ± 0.45 Africa
Gambia  1.86 ± 0.39 Africa
Gaza Strip  2.05 ± 0.21 Asia
Georgia     2.10 ± 0.26 Asia
Germany     2.81 ± 0.21 Europe
Ghana   1.75 ± 0.37 Africa
Greece  1.78 ± 0.27 Europe
Greenland   3.57 ± 0.75 North America
Grenada     1.62 ± 0.33
Guadeloupe  1.83 ± 0.28 North America
Guam    1.24 ± 0.33
Guatemala   1.22 ± 0.30 North America
Guernsey    2.50 ± 0.28 Europe
Guinea  1.80 ± 0.27 Africa
Guinea-Bissau   1.85 ± 0.37 Africa
Guyana  1.62 ± 0.28 South America
Haiti   1.54 ± 0.30 North America
Heard Island and McDonald Islands   1.49 ± 0.60
Honduras    1.44 ± 0.27 North America
Hong Kong   0.83 ± 0.27 Asia
Hungary     2.55 ± 0.23 Europe
Iceland     2.37 ± 0.44 Europe
India   1.44 ± 0.30 Asia
Indonesia   1.21 ± 0.18 Asia
Iran    3.52 ± 0.37 Asia
Iraq    2.54 ± 0.45 Asia
Ireland     2.03 ± 0.36 Europe
Isle of Man     2.30 ± 0.29 Europe
Israel  2.03 ± 0.21 Asia
Italy   2.64 ± 0.22 Europe
Jamaica     1.46 ± 0.26 North America
Japan   1.66 ± 0.23 Asia
Jersey  2.50 ± 0.28 Europe
Jordan  2.10 ± 0.29 Asia
Kazakhstan  2.48 ± 0.26 Asia
Kenya   1.86 ± 0.20 Africa
Kingman Reef    1.71 ± 0.84
